nome|classes|posicoes|tipo_range|tipo_dano|habilidade_passiva|habilidade_q|habilidade_w|habilidade_e|habilidade_r
Aurora|Mage, Assassin|Top|Ranged|Magic|Spirit Abjuration - Innate:   Aurora's  damaging  basic attacks  and  abilities  apply a  stack  of  Spirit Abjuration  to enemies for 4 seconds, refreshing on subsequent applications and stacking up to 3 times. The third stack against a target consumes them all to deal  bonus  magic damage  equal to  2. 5 %  (+ 2% per 100 AP)  of the target's  maximum  health , capped at  100 − 180 (based on level)  against    monsters .|Twofold Hex - Active:   Aurora  fires a bolt of energy in the target direction that deals  magic damage  to enemies hit and marks them with a curse for 3. 5  seconds.|Across the Veil - Active:   Aurora     hops  in the target direction inside a portal to the Spirit Realm. Upon  completing  the dash, she becomes    invisible  for a duration and gains    Realm Hopper  for 4 seconds. Attacking or casting abilities ends the stealth immediately.|The Weirding - Active:   Aurora  blasts energy in a line in the target direction and    recoils  250 units in the opposite direction. The blast deals  magic damage  to enemies hit and    slows  them by 80% for 1 second decaying after the first 0. 15  seconds.|Between Worlds - Active:   Aurora     leaps  in the target direction with    displacement immunity  over 0. 4  seconds. She then gains    Realm Hopper  for 4 seconds and unleashes a pulse of energy at a location directly  425 units  in front of her, expanding in a radius over 0. 75  seconds to deal  magic damage  to enemies hit and    slow  them by 30% for 2 seconds. Once the pulse has fully expanded, it manifests a circular rift to the Spirit Realm for a duration.
Azir|Specialist|Middle|Ranged|Magic| - Innate:  Whenever a    turret  outside the enemy team's base is destroyed, a marker is placed above its ruins which can be targeted by  Azir .|Conquering Sands - Active:   Azir  orders all  Sand Soldiers  to dash toward the target location, dealing  magic damage  to all enemies they pass through as well as those in front of them upon arrival, and    slowing  them by 25% for 1 second.| - Active:   Azir  summons a  Sand Soldier  at the target location that is    untargetable , lasts 10 seconds, and grants    sight  of its surroundings. The  Sand Soldier  expires twice as fast while within range of an enemy    turret , and does so instantly if  Azir  is too far away. Azir  periodically  stocks  a  Sand Soldier , up to a maximum of 2.|Shifting Sands - Active:   Azir  grants himself a    shield  for 1. 5  seconds and    dashes  to the target  Sand Soldier , dealing  magic damage  to enemies within his path.| - Active:   Azir  calls forth a phalanx of soldiers from  175  units behind him, catching enemies from up to  325  units behind him and charging forward  575  units in the target direction.
Bard|Catcher|Support|Ranged|Magic| - Innate - Ancient Chimes:   Bard's  presence causes sacred    Chimes  to appear at random locations on the map, lingering for up to 10 minutes. Collecting a  Chime  restores    12%  maximum  mana  and grants  Bard     20 + ( 1 per minute after 5 minutes ) experience , as well as    24%  bonus  movement speed   out of combat  for 20 seconds, which stacks up to 10 times. Each  Chime  collected beyond the first instead grants an additional  14%  bonus  movement speed , up to a total of  150%  bonus  movement speed .  Bard  empowers his  Meeps  each time he collects  5 Chimes .|Cosmic Binding - Active:   Bard  fires an energy bolt in the target direction that deals  magic damage  to the first enemy hit and    slows  them by 60% for a duration.| - Active:   Bard  conjures a shrine at the target location that gathers power over 5 seconds, granting    sight  of its surroundings for  1. 8  seconds . Shrines last until they are consumed by champions moving over them. Up to 3 shrines may be active at a time.|Magical Journey - Active:   Bard  opens a one-way magical corridor through a piece of  terrain  in the target direction for 10 seconds.|Tempered Fate - Active:   Bard  sends magical energy arcing to the target location, granting    sight  of the area during travel. Upon impact, it puts all units within into    stasis  for 2. 5  seconds, as well as    stunning  all enemy    champions ,    minions , and    turrets  struck for the same duration. Enemies hit are    revealed  for the duration.
Bel'Veth|Skirmisher|Jungle|Melee|Physical|Death in Lavender - Innate:   Bel'Veth  attacks 36% faster than the median champion and her attack speed cap is modified to 90, but all sources of damage (including    on-hit  effects) dealt by her basic attacks are reduced to 75%. Her  attack speed  does not increase through  growth (per level) .|Void Surge - Active:   Bel'Veth     dashes  in the designated direction, though not through terrain, dealing  physical damage  to enemies she passes through. Against the first target,  Void Surge  can    critically strike  for  (175% +    40% ) physical damage  and applies    on-hit  effects at 75% effectiveness and    life steal  at 100% effectiveness.|Above and Below - Active:   Bel'Veth  slams her tail down in the target direction that deals  magic damage  to enemies hit,    knocks them up  for 0. 75  seconds, and    slows  them by 50% for a duration.|Royal Maelstrom - Active:   Bel'Veth  enters a defensive stance for 1. 5  seconds, during which she is unable to move, but gains   20%  (+  100% life steal )  life steal  and damage reduction.|Endless Banquet - Passive:   Bel'Veth's  basic attacks    on-hit  apply a mark to the target for 5 seconds, refreshing on subsequent hits. Every second attack    on-hit  against the marked target deals    bonus  true damage  and generates a stack of  Endless Banquet  that increases this damage by the same value. This effect stacks infinitely, but is capped at 5 stacks against epic    monsters . The mark and stacks expire upon attacking a new target.
Blitzcrank|Catcher|Support|Melee|Magic|Mana Barrier - Innate:  Periodically, when damaged to   30%  maximum  health ,  Blitzcrank  generates a    shield  equal to    30% of  maximum  mana , lasting for up to 10 seconds.|Rocket Grab - Active:   Blitzcrank  fires their right hand in the target direction that catches the first enemy hit, dealing them  magic damage ,    stunning  them for 0. 65  seconds, and    pulling  them towards  Blitzcrank , during which they are    revealed .|Overdrive - Active:   Blitzcrank  shifts into overdrive, gaining    bonus  attack speed  for 5 seconds and    bonus  movement speed  that decays to 10% over the first 2. 9  seconds.|Power Fist - Active:   Blitzcrank  empowers their next  basic attack  within 5 seconds to have an    uncancellable windup , deal  80% AD   (+ 25% AP)   bonus  physical damage  and    knock up  the target for 1 second. This damage is affected by    critical strike  modifiers.|Static Field - Passive:  While  Static Field  is not on cooldown,  Blitzcrank's  basic attacks apply a  stack  to the target    on-hit . After every 1 second, one stack is consumed to deal them  magic damage .
Brand|Burst|Middle|Ranged|Magic|Blaze - Innate:   Brand's   abilities  apply a  stack  of  Ablaze  to enemies hit for 4 seconds, stacking up to 3 times and refreshing the duration of all stacks with each application. Subsequent abilities used against a target with  Ablaze  are empowered. Killing an enemy afflicted with  Ablaze  or any enemy with an ability restores  20 − 40 (based on level)    mana .|Sear - Active:   Brand  launches a fireball in the target direction that deals  magic damage  to the first enemy hit.|Pillar of Flame - Active:  After a  0. 627  seconds  delay,  Brand  erupts a pillar of flame at the target location that deals  magic damage  to enemies hit.|Conflagration - Active:   Brand  sets the target enemy aflame, which creates a blast that deals  magic damage  to them and causes the flame to spread from the target to nearby enemies, dealing them the same damage.|Pyroclasm - Active:   Brand  launches a fireball at the target enemy that bounces between nearby enemies and  Brand  up to four times, dealing  magic damage  to enemies each time.
Braum||Support|Melee|Magic|Concussive Blows - Innate:   Braum's   basic attacks  and    Winter's Bite  each apply a  stack  of  Concussive Blows  to their target for 4 seconds, refreshing on subsequent applications and stacking up to 4 times. Once the first stack has been applied, any allied    champion's  basic attack applies an additional stack to the target    on-hit .| - Active:   Braum  propels ice from his shield in the target direction, dealing  magic damage  to the first enemy hit and    slowing  them by 70% decaying over 2 seconds.|Stand Behind Me - Active:   Braum     dashes  to put himself  between  the target ally and the closest    visible  enemy    champion   within 1500 units , and upon arrival grants himself and the ally    bonus  armor  and    bonus  magic resistance  for 3 seconds.|Unbreakable - Active:   Braum  sets his shield in the target direction for a few seconds, creating a barrier that intercepts all incoming hostile    projectiles  and reduces the damage  Braum  takes through it. The first instance of damage dealt by a    champion  from this direction is reduced by 100%.  Unbreakable  does not affect    turrets .|Glacial Fissure - Active:   Braum  leaps into the air and slams his shield into the ground, creating a fissure from the impact that travels forth in the target direction, dealing  magic damage  to enemies within its path as well as those around  Braum .
Briar|Diver|Jungle|Melee|Physical|Crimson Curse - Innate:   Briar's   basic attacks  and  abilities  inflict a bleed against enemies for 5 seconds, refreshing on subsequent applications,  stacking  up to 9 times and dealing 25% damage for stacks beyond the first. The bleed deals 「  10 − 50 (based on level)   (+ 50%  bonus  AD)   total  physical damage  over the duration, increased by  2. 5  − 12. 5  (based on level)   (+ 12. 5 %  bonus  AD)  for each subsequent stack and up to a maximum of  30 − 150 (based on level)   (+ 150%  bonus  AD) . 」 「  1 − 5 (based on level)   (+ 5%  bonus  AD)   physical damage  every 0. 5  seconds, increased by  0. 25  − 1. 25  (based on level)   (+ 1. 25 %  bonus  AD)  for each subsequent stack and up to a maximum of  3 − 15 (based on level)   (+ 15%  bonus  AD)  per tick. 」 Briar     heals  herself equal to 25% of the  pre-mitigation damage  dealt. If a target dies while bleeding, she will heal herself equal to 125% of the remaining bleed damage.|Head Rush - Active:   Briar     leaps  to the target unit. If the target is an enemy, she deals  magic damage , applies    on-hit  and  on-attack  effects,    stuns  them for 0. 85  seconds, and reduces their    armor  and    magic resistance  for 5 seconds.|Blood Frenzy - Active:   Briar     dashes  to the target location. If there is a nearby enemy upon her arrival, she gains  Blood Frenzy  for 5 seconds, during which she can cast    Snack Attack .|Chilling Scream - Active:   Briar  prepares to unleash a scream in the target direction,    charging  for up to 1 second, during which she increases  Chilling Scream's  damage and range, and gains 35% damage reduction and    heals  herself every 0. 25  seconds.|Certain Death - Active:   Briar  kicks her pillory's hemolith in the target direction, briefly granting    sight  of its  surroundings  as it  travels  and marking the first enemy champion hit as her prey. The mark's application    disrupts  the target's ongoing    channels . While the target is marked, they are    revealed .
Caitlyn|Marksman|Bottom|Ranged|Physical|Headshot - Innate:   Caitlyn's  basic attacks generate a  stack  of  Count   on-attack , doubled if she is within    brush . At 5 stacks, or 4 while in  brush , her next  basic attack  consumes all stacks  on-attack  to become a  Headshot .|Piltover Peacemaker - Active:   Caitlyn  fires a piercing shot in the target direction that deals  physical damage  to the first enemy it passes through, after which it expands in width but deals only 50% damage to enemies it hits thereafter.|Yordle Snap Trap - Active:   Caitlyn  sets a visible trap at the target location that is    untargetable  and arms after 1 second, lasting for a duration. The trap grants    sight  of the area for 1 second after being placed.|90 Caliber Net - Active:   Caitlyn  fires a net in the target direction and    recoils  390 units in the opposite direction. The net deals  magic damage  to the first enemy hit and    slows  them by 50% for 1 second.|Ace in the Hole - Active:   Caitlyn  locks onto the target enemy champion and    channels  for 1 second,    revealing  them as well as    revealing  herself.
Camille|Diver|Support|Melee|Physical|Adaptive Defenses - Innate:  Periodically,  Camille's  next  basic attack     on-hit  against an enemy champion grants her a    shield  equal to    20% of her  maximum  health , lasting for 2 seconds and absorbing damage from either exclusively    physical damage  or    magic damage , based on which type the target has previously dealt most of against champions as well as on  Camille's   current     armor  and    magic resistance .|Precision Protocol - Active:   Camille  empowers her next basic attack within 4 seconds to have an    uncancellable windup , gain   50  bonus  range , deal  bonus  physical damage  and grant her    bonus  movement speed  for 1 second.|Tactical Sweep - Active:   Camille  sweeps her leg in a cone in the target direction over 1. 1  seconds, during which she is    ghosted  and unable to declare basic attacks. Afterwards, she deals  physical damage  to all enemies within.|Hookshot - Active:   Camille  fires a grapple in the target direction. If the grapple collides with terrain,  Camille  will    dash  toward and attach to the terrain for 0. 75  seconds, during which she gains the ability to cast    Wall Dive .|The Hextech Ultimatum - Active:   Camille  becomes    untargetable  and    leaps  with    displacement immunity  towards the target enemy    champion  over 0. 5  seconds,    revealing  them for the duration and    disrupting  their ongoing    channels .
Cassiopeia|Battlemage|Middle|Ranged|Magic|Serpentine Grace - Innate:   Cassiopeia  gains  4 − 72 (based on level)     bonus  movement speed , but she cannot purchase  Boots .|Noxious Blast - Active:   Cassiopeia  creates a blast at the target location that explodes after a 0. 4 -second delay. Enemies within the blast are    poisoned  for 3 seconds, taking  magic damage  every 0. 429  seconds over the duration.|Miasma - Active:   Cassiopeia  spews forth 8 bolts of venom in an arc at the target location, creating toxic clouds at the area for 5 seconds.|Twin Fang - Active:   Cassiopeia  launches her fangs at the target enemy that deal  52 − 120 (based on level)   (+ 10% AP)   magic damage . If this kills the target,  Twin Fang's    mana cost  is refunded.|Petrifying Gaze - Active:   Cassiopeia  blasts enemies in a cone in the target direction, dealing  magic damage  to enemies struck within and    slowing  them by 40% for 2 seconds. Enemies with their facing direction towards her are instead    stunned  for the same duration.
Cho'Gath|Specialist|Top|Melee|Magic|Carnivore - Innate:  Whenever  Cho'Gath  kills an enemy, it    heals  for  18 − 52 (based on level)  and restores    4. 72  − 9. 48  (based on level)  mana .|Rupture - Active:   Cho'Gath  ruptures the target location after a  0. 627  seconds  delay, granting    sight  of the area before dealing  magic damage  to enemies within and    knocking them up  for 1 second, and afterwards    slowing  them by 60% for 1. 5  seconds.|Feral Scream - Active:   Cho'Gath  roars in a cone in the target direction, dealing  magic damage  to enemies hit.|Vorpal Spikes - Active:   Cho'Gath  empowers its next 3  basic attacks  within 6 seconds to gain   50  bonus  range  and launch a blast of spikes  on-attack  in the target's direction. Enemies struck are dealt  magic damage  and    slowed  by an amount that decays over 1. 5  seconds. The damage based on the target's health ratio is capped at 200 against    monsters .|Feast - Active:   Cho'Gath  attempts to eat the target enemy, dealing them    true damage . Against non-   champions , the  base  damage is modified.
Corki|Marksman|Middle|Ranged|Physical|Hextech Munitions - Innate:   Corki's   basic attacks  deal    bonus  true damage  equal to  20% AD . This damage is affected by    critical strike  modifiers.|Phosphorus Bomb - Active:   Corki  launches a bomb at the target location that explodes upon impact, dealing  magic damage  to enemies hit.|Valkyrie - Active:   Corki     dashes  to the target location and drops bombs that leave up to 3 blazing patches along his path, depending on the distance traveled. Each patch lasts 2. 5  seconds.|Gatling Gun - Active:   Corki  sprays bullets in a cone toward his facing direction for 4 seconds, dealing  physical damage  every 0. 25  seconds to all enemies hit and applying a  stack  to them at the same tick rate for 2 seconds, refreshing with subsequent hits and stacking up to 4 times. Each stack reduces the target's    armor  and    magic resistance .|Missile Barrage - Passive:  Basic attacks  on-hit  against champions reduce  Missile Barrage's  remaining recharge time by  2 − 4 (based on critical strike chance)  seconds.
Darius|Juggernaut|Top|Melee|Physical|Hemorrhage - Innate:   Darius'   damaging  basic attacks  and  abilities  apply a  stack  of  Hemorrhage  to enemies for 5 seconds, refreshing on subsequent applications and stacking up to 5 times.|Decimate - Active:   Darius  hefts his axe for 0. 75  seconds, and then swings it around himself, dealing  physical damage  to nearby enemies, reduced to 35% against enemies hit by the inner radius.|Crippling Strike - Active:   Darius  empowers his next basic attack within 4 seconds to have an    uncancellable windup , gain   25  bonus  range , deal  bonus  physical damage  and    slow  the target by 90% for 1 second. This damage is affected by    critical strike  modifiers.|Apprehend - Passive:   Darius  gains    armor penetration .|Noxian Guillotine - Active:   Darius  attempts to execute the target enemy    champion ,    leaping  towards them to deal    true damage , increased by  0% − 100% (based on target's   Hemorrhage stacks) , and granting    sight  of the area around them for 2. 5  seconds from the start of the cast time.
Dr. Mundo|Juggernaut|Top|Melee|Physical|Goes Where He Pleases - Innate:   Dr. Mundo     regenerates  an additional 「  0. 4 % − 2. 3 % (based on level)  of his    maximum  health  every 5 seconds. 」 「  0. 08 % − 0. 46 % (based on level)  of his    maximum  health  each second. 」|Infected Bonesaw - Active:   Dr. Mundo  throws an infected bonesaw in the target direction that deals  magic damage  to the first enemy hit and    slows  them by 40% for 2 seconds.|Heart Zapper - Active:   Dr. Mundo  charges up a defibrillator for up to 3 seconds, dealing  magic damage  every 0. 25  seconds to nearby enemies and storing  80% − 95% (based on level)  of  post-mitigation damage  he takes as  grey health  on his  health bar , reduced to 25% after the first 0. 75  seconds.|Blunt Force Trauma - Passive:   Dr. Mundo  gains    bonus  attack damage .|Maximum Dosage - Active:   Dr. Mundo  injects himself with chemicals to become enhanced for 10 seconds, gaining increased    base  health ,    bonus  movement speed , and    bonus  health regeneration .
Draven|Marksman|Bottom|Ranged|Physical|League of Draven - Innate:  When  Draven  catches a    Spinning Axe , kills a non-champion, or destroys a    turret , he gains a  stack  of  Adoration .|Spinning Axe - Active:   Draven  starts spinning his axe, empowering his next  basic attack  within 5. 8  seconds to deal  bonus  physical damage .|Blood Rush - Active:   Draven  enters an adrenaline rush, gaining    bonus  attack speed  for 3 seconds as well as decaying    bonus  movement speed  and    ghosting  for 1. 5  seconds.|Stand Aside - Active:   Draven  throws a fan of axes in a line in the target direction, dealing  physical damage  to enemies hit,    knocking them aside , though not through terrain, and    slowing  them for 2 seconds.|Whirling Death - Active:   Draven  hurls two massive axes in the target direction that briefly grant    sight  of their surroundings and deal  physical damage  to enemies hit. Enemy    champions  that are damaged to or while below a    health  threshold equal to the number of    Adoration  stacks are    executed .
Ekko|Assassin|Middle|Melee|Magic|Z-Drive Resonance - Innate - Resonance:   Ekko's   basic attacks     on-hit  and damaging  abilities  apply a  stack  of  Resonance  to enemies hit for 4 seconds, refreshing on subsequent hits and stacking up to 3 times. The third stack consumes them all to deal  30 − 140 (based on level)   (+ 90% AP)   bonus  magic damage .  Z-Drive Resonance  deals 300% damage against    monsters .|Timewinder - Active:   Ekko  throws a temporal grenade in the target direction that deals  magic damage  to enemies hit.|Parallel Convergence - Passive:   Ekko's  basic attacks deal  bonus  magic damage  equal to  3%  (+ 3% per 100 AP)  of the target's  missing  health  against enemies below    30% of their  maximum  health . The damage has a minimum threshold of 15 and is capped at 150 against    minions  and    monsters .|Phase Dive - Active:   Ekko     dashes  in the target direction, then empowers his next basic attack within 3 seconds to have a 0. 25 -second cast time, gain   300  bonus  range , cause him to    blink  within  125  range of the target, and deal  bonus  magic damage .|Chronobreak - Passive:  Upon learning  Chronobreak  or if its  current  cooldown is lower than 4 seconds,  Ekko  reveals a time-delayed  afterimage  of himself that constantly tracks where he was 4 seconds ago.
Elise|Diver|Jungle|Ranged|Magic|Spider Queen - Innate - Human Form:   Elise  gains one dormant  Spiderling  whenever she hits an enemy with an  ability , storing up to  2 / 3 / 4 / 5 (based on    Human Form's  Rank)  at a time.|Neurotoxin - Active:   Elise  fires a toxin at the target enemy that deals  magic damage , with the damage based on the target's health ratio being capped against    monsters .|Volatile Spiderling - Active:   Elise  summons a venom-gorged spider for 3 seconds, which is    untargetable  and crawls to the target location, navigating its path upon encountering terrain.|Cocoon - Active:   Elise  fires a web in the target direction,    stunning  the first enemy hit for a few seconds, during which they are also    revealed .| - Passive:     Spider Queen's  bonuses are increased.
